FECHA,ENTIDAD_RES,NOMBRE,CODIGO,POBLACION,SUPERFICIE,DENSIDAD,I,R,S,TotalRecuperado,TotalPorMuerte
2020-01-14,1,AGUASCALIENTES,AS,1434635,5616,255,1,0,1434634,0,0
2020-01-15,1,AGUASCALIENTES,AS,1434635,5616,255,1,0,1434634,0,0
2020-01-16,1,AGUASCALIENTES,AS,1434635,5616,255,1,0,1434634,0,0
2020-01-17,1,AGUASCALIENTES,AS,1434635,5616,255,1,0,1434634,0,0
2020-01-18,1,AGUASCALIENTES,AS,1434635,5616,255,1,0,1434634,0,0
2020-01-19,1,AGUASCALIENTES,AS,1434635,5616,255,1,0,1434634,0,0
2020-01-20,1,AGUASCALIENTES,AS,1434635,5616,255,1,0,1434634,0,0
2020-01-21,1,AGUASCALIENTES,AS,1434635,5616,255,1,0,1434634,0,0
2020-01-22,1,AGUASCALIENTES,AS,1434635,5616,255,1,0,1434634,0,0
2020-01-23,1,AGUASCALIENTES,AS,1434635,5616,255,1,0,1434634,0,0
2020-01-24,1,AGUASCALIENTES,AS,1434635,5616,255,1,0,1434634,0,0
2020-01-25,1,AGUASCALIENTES,AS,1434635,5616,255,1,0,1434634,0,0
2020-01-26,1,AGUASCALIENTES,AS,1434635,5616,255,1,0,1434634,0,0
2020-01-27,1,AGUASCALIENTES,AS,1434635,5616,255,1,0,1434634,0,0
2020-01-28,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-01-29,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-01-30,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-01-31,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-01,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-02,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-03,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-04,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-05,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-06,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-07,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-08,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-09,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-10,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-11,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-12,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-13,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-14,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-15,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-16,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-17,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-18,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-19,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-20,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-21,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-22,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-23,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-24,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-25,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-26,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
2020-02-27,1,AGUASCALIENTES,AS,1434635,5616,255,0,1,1434634,1,0
