"","time","country","reported_cases","reported_cases_c","predicted_cases_c","predicted_min_c","predicted_max_c","predicted_cases","predicted_min","predicted_max","predicted_min2","predicted_max2","deaths","deaths_c","estimated_deaths_c","death_min_c","death_max_c","estimated_deaths","death_min","death_max","death_min2","death_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"1",2020-02-27,"DF",1,1,34.7358617770656,0.437728154105014,208.82404265849,34.7358617770656,0.437728154105014,208.82404265849,1.22093202035995,11.4526848125525,0,0,3.47358617770656e-14,4.37728154105014e-16,2.0882404265849e-13,3.47358617770656e-14,4.37728154105014e-16,2.0882404265849e-13,1.22093202035995e-15,1.14526848125525e-14,5.05357370504097,3.58268699596586,7.14453909477338,4.40838789163458,5.59942607772874
"2",2020-02-28,"DF",2,3,69.4717235541313,0.875456308210027,417.64808531698,34.7358617770656,0.437728154105014,208.82404265849,1.22093202035995,11.4526848125525,0,0,3.47358617770656e-14,4.37728154105014e-16,2.0882404265849e-13,0,0,0,0,0,4.94859954546591,3.40640761219543,7.16975264902862,4.28991743923448,5.50492841377894
"3",2020-02-29,"DF",1,4,104.207585331197,1.31318446231504,626.47212797547,34.7358617770656,0.437728154105014,208.82404265849,1.22093202035995,11.4526848125525,0,0,8.55226854726032e-06,1.67275813636038e-06,2.32031940941867e-05,8.55226851252445e-06,1.67275813592265e-06,2.32031938853627e-05,4.37713897552271e-06,1.09561395571714e-05,5.82791617168619,4.05955247647621,8.2262939832488,4.98847795593107,6.45844190957973
"4",2020-03-01,"DF",2,6,138.943447108263,1.75091261642005,835.29617063396,34.7358617770656,0.437728154105014,208.82404265849,1.22093202035995,11.4526848125525,0,0,5.13136111098826e-05,1.00365488159736e-05,0.000139219163521,4.27613425626223e-05,8.36379067961324e-06,0.000116015969426813,2.18856948776136e-05,5.47806977858572e-05,5.22258820207452,2.95373300340114,8.49573817404425,4.29544843391284,6.01483751970569
"5",2020-03-02,"DF",5,11,173.679308885328,2.18864077052507,1044.12021329245,34.7358617770656,0.437728154105014,208.82404265849,1.22093202035995,11.4526848125525,0,0,0.000211336057499785,4.13357121592374e-05,0.000573376702442674,0.000160022446389902,3.12991633432638e-05,0.000434157538921674,8.19011337197806e-05,0.000205001544603074,4.16060261374433,2.57120592109448,7.04804316495393,3.26332233913625,4.7591525538931
"6",2020-03-03,"DF",2,13,208.415170662394,2.62636892463008,1252.94425595094,34.7358617770656,0.437728154105014,208.82404265849,1.22093202035995,11.4526848125525,0,0,0.000655103768094109,0.000128133273212113,0.0017773646518276,0.000443767710594324,8.67975610528752e-05,0.00120398794938493,0.000227124877952123,0.000568501908133229,4.78250011266572,3.45440773025422,6.67514022134618,4.23476974747567,5.27306785386808
"7",2020-03-04,"DF",3,16,300.896428519075,4.0955306747505,1787.46193736085,92.4812578566809,1.46916175012042,534.517681409914,3.22068698732277,31.9842851302562,0,0,0.00170114123238154,0.000332730179436963,0.00461537307727285,0.00104603746428744,0.00020459690622485,0.00283800842544524,0.000535372731583934,0.00134005760272604,4.84284777914306,3.35792651560725,7.10592746242472,4.20785665431841,5.38212366513096
"8",2020-03-05,"DF",2,18,416.970840380943,5.87594133106088,2457.44197314751,116.074411861869,1.78041065631038,669.980035786651,3.80578503481087,40.3339148447106,0,0,0.00375330557456464,0.000734117787252357,0.0101831083566983,0.00205216434218309,0.000401387607815394,0.00556773527942546,0.00105031881461543,0.00262898655418527,4.71833491673177,3.20133285126252,7.13800210316955,4.00282966557729,5.22254284322756
"9",2020-03-06,"DF",6,24,568.231100951778,8.10208024508776,3326.51157485057,151.260260570835,2.22613891402688,869.06960170306,4.48113192255793,54.537896079999,0,0,0.00739750437761146,0.00144996118294708,0.0200584601610629,0.00364419880304683,0.00071584339569472,0.0098753518043646,0.00186755758475895,0.00466772756372602,4.44030820135593,2.9528789164223,6.90060908105194,3.73703903944964,4.98502514898516
"10",2020-03-07,"DF",9,33,767.189304194158,12.5574483765466,4425.27671797668,198.958203242379,4.45536813145887,1098.76514312612,9.33124587331588,82.5607104159909,0,0,0.013358044005084,0.00263270731465698,0.0361677244016287,0.00596053962747251,0.0011827461317099,0.0161092642405658,0.00306331897003192,0.00763179655682335,5.84731857064624,3.89109507230291,8.35468950838789,4.99417188655942,6.57374996724854
