Codigo,Fecha,CasosNuevos,CasosAcumulados,MuertesNuevas,MuertesAcumuladas
AS,2020-01-14,1,1,0,0
AS,2020-01-15,0,1,0,0
AS,2020-01-16,0,1,0,0
AS,2020-01-17,0,1,0,0
AS,2020-01-18,0,1,0,0
AS,2020-01-19,0,1,0,0
AS,2020-01-20,0,1,0,0
AS,2020-01-21,0,1,0,0
AS,2020-01-22,0,1,0,0
AS,2020-01-23,0,1,0,0
AS,2020-01-24,0,1,0,0
AS,2020-01-25,0,1,0,0
AS,2020-01-26,0,1,0,0
AS,2020-01-27,0,1,0,0
AS,2020-01-28,0,1,0,0
AS,2020-01-29,0,1,0,0
AS,2020-01-30,0,1,0,0
AS,2020-01-31,0,1,0,0
AS,2020-02-01,0,1,0,0
AS,2020-02-02,0,1,0,0
AS,2020-02-03,0,1,0,0
AS,2020-02-04,0,1,0,0
AS,2020-02-05,0,1,0,0
AS,2020-02-06,0,1,0,0
AS,2020-02-07,0,1,0,0
AS,2020-02-08,0,1,0,0
AS,2020-02-09,0,1,0,0
AS,2020-02-10,0,1,0,0
AS,2020-02-11,0,1,0,0
AS,2020-02-12,0,1,0,0
AS,2020-02-13,0,1,0,0
AS,2020-02-14,0,1,0,0
AS,2020-02-15,0,1,0,0
AS,2020-02-16,0,1,0,0
AS,2020-02-17,0,1,0,0
AS,2020-02-18,0,1,0,0
AS,2020-02-19,0,1,0,0
AS,2020-02-20,0,1,0,0
AS,2020-02-21,0,1,0,0
AS,2020-02-22,0,1,0,0
AS,2020-02-23,0,1,0,0
AS,2020-02-24,0,1,0,0
AS,2020-02-25,0,1,0,0
AS,2020-02-26,0,1,0,0
AS,2020-02-27,0,1,0,0
AS,2020-02-28,0,1,0,0
AS,2020-02-29,0,1,0,0
AS,2020-03-01,0,1,0,0
AS,2020-03-02,0,1,0,0
AS,2020-03-03,0,1,0,0
AS,2020-03-04,0,1,0,0
AS,2020-03-05,0,1,0,0
AS,2020-03-06,0,1,0,0
AS,2020-03-07,1,2,0,0
AS,2020-03-08,0,2,0,0
AS,2020-03-09,0,2,0,0
AS,2020-03-10,1,3,0,0
AS,2020-03-11,0,3,0,0
AS,2020-03-12,1,4,0,0
AS,2020-03-13,0,4,0,0
AS,2020-03-14,1,5,0,0
AS,2020-03-15,1,6,0,0
AS,2020-03-16,2,8,0,0
AS,2020-03-17,2,10,0,0
AS,2020-03-18,4,14,0,0
AS,2020-03-19,2,16,0,0
AS,2020-03-20,2,18,0,0
AS,2020-03-21,0,18,0,0
AS,2020-03-22,5,23,0,0
AS,2020-03-23,9,32,0,0
AS,2020-03-24,5,37,0,0
AS,2020-03-25,5,42,0,0
AS,2020-03-26,4,46,0,0
AS,2020-03-27,6,52,0,0
AS,2020-03-28,2,54,0,0
AS,2020-03-29,3,57,0,0
AS,2020-03-30,3,60,0,0
AS,2020-03-31,1,61,0,0
AS,2020-04-01,1,62,0,0
AS,2020-04-02,2,64,0,0
AS,2020-04-03,1,65,0,0
AS,2020-04-04,0,65,0,0
AS,2020-04-05,2,67,0,0
AS,2020-04-06,4,71,0,0
AS,2020-04-07,3,74,0,0
AS,2020-04-08,2,76,0,0
AS,2020-04-09,3,79,0,0
AS,2020-04-10,5,84,1,1
AS,2020-04-11,6,90,0,1
AS,2020-04-12,5,95,0,1
AS,2020-04-13,6,101,1,2
AS,2020-04-14,11,112,0,2
AS,2020-04-15,10,122,0,2
AS,2020-04-16,8,130,0,2
AS,2020-04-17,11,141,1,3
AS,2020-04-18,15,156,0,3
AS,2020-04-19,7,163,1,4
AS,2020-04-20,19,182,0,4
AS,2020-04-21,6,188,0,4
AS,2020-04-22,11,199,1,5
AS,2020-04-23,17,216,0,5
AS,2020-04-24,12,228,0,5
AS,2020-04-25,10,238,0,5
AS,2020-04-26,11,249,0,5
AS,2020-04-27,30,279,1,6
AS,2020-04-28,12,291,1,7
AS,2020-04-29,17,308,0,7
AS,2020-04-30,24,332,1,8
AS,2020-05-01,10,342,0,8
AS,2020-05-02,19,361,0,8
AS,2020-05-03,11,372,0,8
AS,2020-05-04,23,395,1,9
AS,2020-05-05,23,418,0,9
AS,2020-05-06,9,427,3,12
AS,2020-05-07,19,446,3,15
AS,2020-05-08,9,455,1,16
AS,2020-05-09,8,463,0,16
AS,2020-05-10,20,483,1,17
AS,2020-05-11,30,513,0,17
AS,2020-05-12,14,527,0,17
AS,2020-05-13,21,548,1,18
AS,2020-05-14,21,569,1,19
AS,2020-05-15,21,590,1,20
AS,2020-05-16,15,605,1,21
AS,2020-05-17,17,622,4,25
AS,2020-05-18,22,644,0,25
AS,2020-05-19,21,665,0,25
AS,2020-05-20,36,701,0,25
AS,2020-05-21,32,733,2,27
AS,2020-05-22,31,764,1,28
AS,2020-05-23,22,786,0,28
AS,2020-05-24,29,815,4,32
AS,2020-05-25,44,859,0,32
AS,2020-05-26,47,906,1,33
AS,2020-05-27,31,937,3,36
AS,2020-05-28,43,980,3,39
AS,2020-05-29,35,1015,3,42
AS,2020-05-30,39,1054,2,44
AS,2020-05-31,40,1094,1,45
AS,2020-06-01,78,1172,2,47
AS,2020-06-02,58,1230,3,50
AS,2020-06-03,36,1266,4,54
AS,2020-06-04,34,1300,3,57
AS,2020-06-05,60,1360,1,58
AS,2020-06-06,60,1420,5,63
AS,2020-06-07,44,1464,2,65
AS,2020-06-08,69,1533,2,67
AS,2020-06-09,49,1582,4,71
AS,2020-06-10,60,1642,5,76
AS,2020-06-11,37,1679,2,78
AS,2020-06-12,41,1720,7,85
AS,2020-06-13,42,1762,2,87
AS,2020-06-14,50,1812,1,88
AS,2020-06-15,56,1868,2,90
AS,2020-06-16,39,1907,4,94
AS,2020-06-17,26,1933,4,98
AS,2020-06-18,16,1949,4,102
AS,2020-06-19,4,1953,2,104
AS,2020-06-20,7,1960,0,104
AS,2020-06-21,0,1960,2,106
AS,2020-06-22,0,1960,0,106
AS,2020-06-23,0,1960,0,106
BC,2020-01-17,1,1,0,0
BC,2020-01-18,0,1,0,0
BC,2020-01-19,0,1,0,0
BC,2020-01-20,0,1,0,0
BC,2020-01-21,0,1,0,0
BC,2020-01-22,0,1,0,0
BC,2020-01-23,0,1,0,0
BC,2020-01-24,0,1,0,0
BC,2020-01-25,0,1,0,0
BC,2020-01-26,0,1,0,0
BC,2020-01-27,0,1,0,0
BC,2020-01-28,0,1,0,0
BC,2020-01-29,0,1,0,0
BC,2020-01-30,0,1,0,0
BC,2020-01-31,0,1,0,0
BC,2020-02-01,0,1,0,0
BC,2020-02-02,0,1,0,0
BC,2020-02-03,0,1,0,0
BC,2020-02-04,0,1,0,0
BC,2020-02-05,0,1,0,0
BC,2020-02-06,1,2,0,0
BC,2020-02-07,1,3,0,0
BC,2020-02-08,0,3,0,0
BC,2020-02-09,0,3,0,0
BC,2020-02-10,0,3,0,0
BC,2020-02-11,0,3,0,0
BC,2020-02-12,0,3,0,0
BC,2020-02-13,0,3,0,0
BC,2020-02-14,0,3,0,0
BC,2020-02-15,0,3,0,0
BC,2020-02-16,0,3,0,0
BC,2020-02-17,0,3,0,0
BC,2020-02-18,0,3,0,0
BC,2020-02-19,0,3,0,0
BC,2020-02-20,0,3,0,0
BC,2020-02-21,0,3,0,0
BC,2020-02-22,0,3,0,0
