time,reported_cases,reported_cases_c,predicted_cases_c,predicted_min_c,predicted_max_c,predicted_cases,predicted_min,predicted_max,predicted_min2,predicted_max2,deaths,deaths_c,estimated_deaths_c,death_min_c,death_max_c,estimated_deaths,death_min,death_max,death_min2,death_max2,rt,rt_min,rt_max,rt_min2,rt_max2,country_region_code,country_region,iso_3166_2_code,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,AS,BC,BS,CC,CH,CL,CM,CS,DF,DG,GR,GT,HG,JC,MC,MN,MS,NL,NT,OC,PL,QR,QT,SL,SP,SR,TC,TL,TS,VZ,YN,ZS
2020-04-16,10,120,668.162117014805,347.24302640263494,1056.14278571239,33.325673849108,21.5868059985612,47.2050579968319,29.2351207787945,37.2085556404384,0,5,15.049113929097901,7.8041930163121,24.6775001452527,1.7976357179959699,0.998766303731104,2.7497718725903497,1.4803632874315,2.01563017482805,1.17151238260502,0.912760556712303,1.4134006663840801,1.08344055896827,1.23981515838453,MX,Mexico,MX-TLA,-38,-12,-34,-41,-48,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-04-17,7,127,699.8066286973469,364.36386564091003,1106.19826821384,31.6445116825418,17.120839238275302,50.055482501454705,25.8561102239489,36.095383049144004,1,6,16.960037716785198,8.89668612300366,27.566200376536102,1.91092378768731,1.09249310669156,2.8887002312834102,1.59135176619689,2.13836231158384,1.06261998235071,0.670077462604605,1.47230709144325,0.9416581136019109,1.17535008219162,MX,Mexico,MX-TLA,-45,-14,-34,-43,-44,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-04-18,9,136,732.9158057080961,387.649503167231,1150.9514063296199,33.1091770107488,23.285637526320702,44.7531381157792,28.5438804163737,37.3699052403024,0,6,18.9851930465587,10.1080440765575,30.5902413549368,2.02515532977351,1.2113579535538601,3.02404097840069,1.70832416151566,2.27323215055906,1.0965991315680799,0.73309345556984,1.46153122799352,0.9535272828882579,1.25276693874646,MX,Mexico,MX-TLA,-46,-17,-38,-40,-19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-04-19,9,145,765.094300948047,400.417171220542,1209.01401626666,32.1784952399516,12.767668053311,58.0626099370379,23.983202387918602,39.041482917324295,2,8,21.124181736206697,11.434865630683902,33.7475207840119,2.1389886896479897,1.3268215541264199,3.15727942907518,1.81669083732564,2.40805534640985,1.0658688882062801,0.38240109128497707,1.92241994607935,0.7698391780750871,1.3125783395593702,MX,Mexico,MX-TLA,-53,-25,-50,-46,-15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-04-20,22,167,805.2746658758681,428.45782041047005,1263.4730544689999,40.180364927820705,28.040649189928,54.4590382023358,35.4874878547097,44.3873509312777,0,8,23.3754841627532,12.8476385068513,37.0579647532024,2.2513024265465,1.4127728761673999,3.3104439691904504,1.9237734322076898,2.51882930250262,1.27256090351428,1.00757705203851,1.56597536860412,1.1673902712058302,1.3657170436364199,MX,Mexico,MX-TLA,-47,-26,-42,-46,-46,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-04-21,20,187,849.506003977037,457.106028389541,1325.01529871782,44.2313381011689,28.6482079790708,61.54224424882461,38.39446539898589,49.1373271254008,2,10,25.738141566745895,14.3500339670829,40.4936016835247,2.36265740399266,1.50239546023158,3.43563693032226,2.0180622340791396,2.6170937887716,1.3794574876274601,1.05706904237668,1.8034625408362401,1.23692986395555,1.5035842561007602,MX,Mexico,MX-TLA,-46,-25,-41,-44,-48,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-04-22,8,195,895.358399609521,486.142851369758,1389.7390402211402,45.852395632484,29.0368229802177,64.7237415033222,39.3114276823611,51.6205678634623,2,12,28.211923526873104,15.9684305959054,44.006773225257994,2.47378196012727,1.6183966288225,3.51317154173339,2.15930699940767,2.72835614950113,1.39331063126831,1.06292312823888,1.85000348389523,1.23899671521988,1.51678764506688,MX,Mexico,MX-TLA,-46,-23,-40,-43,-48,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-04-23,10,205,941.4388439516921,514.298609754484,1456.34275697838,46.08044434217071,28.1557583847259,66.6037167572392,40.2186404272221,51.674429950032604,1,13,30.797356674465103,17.7164787298451,47.629809807452,2.5854331475919903,1.7480481339396798,3.6230365821939503,2.27668861376992,2.85025782869771,1.34986122008127,1.0142559052796,1.73132669220016,1.20748009958496,1.4860370356450001,MX,Mexico,MX-TLA,-47,-23,-42,-44,-48,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-04-24,17,222,979.5439359728309,540.2143347498301,1508.2776400596802,38.1050920211391,25.915724995345602,51.9348830812924,33.458982579059104,42.4752089174941,1,14,33.4916134763277,19.559447819930803,51.3565104728549,2.69425680186263,1.84296909008571,3.72670066540289,2.3636295247326498,2.9674990877849705,1.07003101561046,0.8154954377749151,1.31629279784191,0.9767103155431929,1.15822807816125,MX,Mexico,MX-TLA,-50,-24,-43,-48,-44,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-04-25,11,233,1013.0015026777901,559.838799809383,1557.1972975847302,33.457566704956996,19.624465059552897,48.9196575250558,28.215411716666104,38.2023851505475,2,16,36.2952577938877,21.534808846982198,55.16866449340429,2.8036443175599404,1.9753610270513702,3.81215402054944,2.4806354144106098,3.09654377494622,0.91309641626552,0.516384650959625,1.32254214034418,0.788049872506188,1.06489405839054,MX,Mexico,MX-TLA,-49,-21,-43,-47,-21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
